Character,Line
Driver 2,"Oh yes. That's great. 
"
Yates,"Yeah, you like it?
"
Driver 2,"Oh, I love it!
"
Yates,"Yeah, you're a dirty fuck!
"
Yates,"Yeah, come on! Harder! Deeper!
"
Driver 2,"Oh yeah!  Oh yeah!
"
Yates,"Yeah, teach me a lesson, daddy!
"
Yates,"Teach this little whore a lesson!
"
Driver 2,"Yeah! Yeah!
"
Yates,"Yeah, that's right!
"
Driver 2,"Awww, awwwww, awwwwoh!  Awh.  Oh, oh man!  Thank you! That was great.
"
Yates,"Yeah, you really worked it, Daddy. You really gave my little hole quite a...  STRETCH.
"
Murphy,"Uhhh, that, that's it. Move in! 
"
Driver 2,"Oh God! It's the police!
"
Yates,"Freeze!  You are under arrest for soliciting prostitution! Book him, boys! 
"
Driver 2,"Please! Please don't do this! I have a wife and kids!
"
Yates,"A wife and kids. And you're out here trollin' the streets for prostitutes. You make me sick! Take him downtown, boys. I'm goin' back on the street.
"
Groundskeeper,"That's it recess is over back to class.
"
Kids,"Aaaaaaah.
"
Butters,"Boy oh boy, really great work, bitches. You all sold lots of kisses today. Except for you, Megan, I'm afraid you get a stormy cloud sticker today.
"
Ashley,"So wait, you're keeping all the money now?
"
Butters,"I just hold on to all the money, 'cause bitches can't be trusted with it. We pool all the kissing money together, see? But if you wanna buy anything, you just talk to the bottom bitch , and then the bottom bitch talks to me. Alright, see you after school!  Do you know what I am saying?
"
Mr. Garrison,"Alright children, I want you to copy down these math problems and solve them before recess.
"
Butters,"Yo, Bebe. Bebe yo.
"
Bebe,"What?
"
Butters,"Bitch you wanna make some motherfuckin' money?
"
Bebe,"What?!
"
Butters,"Bitch you should be doin' kisses on the playground. You can make fifty bucks a day! Buy all the purses and shoes that you've ever wanted. I'll treat you right, bitch.
"
Bebe,"Shut up!
"
Butters,"Oh, alright then.  Hey Wendy. Wendy!  Bitch, don't you wanna start makin' some real fuckin' money?
"
Wendy,"Leave me alone.
"
Butters,"Why you were made for the playground, bitch. You should be out there workin'. Don't you want a new lunch box? Nice new coat? I can get all that for you, bitch.
"
Stan,"Butters. Dude!
"
Butters,"What?
"
Stan,"You can't call my girlfriend a bitch!
"
Butters,"Oh. Well all I'm sayin' the bitch should be out there workin' is all.  Whatcha doin' bitch? Just givin' kisses to Stan for free? Why you should be makin' some motherfuckin' money!
"
Wendy,"Stan!
"
Stan,"Butters, seriously, if you don't stop this I'll kick your ass!
"
Butters,"Clyde, here's a hundred bucks. If Stan comes near me, punch him.
"
Clyde,"Wow wee. 
"
Cartman,"Dude, we've created a monster.
"
Butters,"Come on Wendy, you should be puttin' that mouth to work.
"
Mr. Garrison,"Butters! Butters, do you have a problem?!
"
Butters,"All these bitches are kissin' fellers, and they haven't figured out that they can be making some serious fuckin' money!
"
Butters,"Really glad you joined the company, Annie! Now remember: you're chargin' five dollars for a kiss, two for a hug, and six for half and half. Alright bitch? Alright, how about a freebie?  Ohwoah,  whoopie! 
"
Kyle,"Butters, I really think we should talk.
"
Butters,"Sure, Kyle.
"
Kyle,"Butters, can't you see this is wrong? You've got little boys all over school spending all their lunch money on kisses. Boys shouldn't be paying for kisses. It's wrong.
"
Butters,"Kyle, every boy pays for kisses. Do you know what I am saying? If you've got a girl, and she kisses you, sooner or later you're paying for it. You've gotta take her out to lunch, take her to a movie, and then spend time listenin' to all her stupid problems. Look, look at Stan right there.  He's gotta sit there and listen to her stupid motherfuckin' problems 'cause she kisses him. If you ask me, that's a lot more than the five dollars my company charges.
"
Kyle,"Butters, what's happened to you?
"
Butters,"What happened is that I became a man! I'm sorry I'm not your little buddy anymore, but there's a time people have to grow up!  Do you know what I am saying?! 
"
Frat Boy 1,"Alpha Tau Omega, woo!
"
Frat Boy 2,"ATOs!
"
Frat Boy 3,"Alright, ATOs, our little Kevin is twenty one today!  And so, Kevin, we would like to welcome you to manhood. Our gift to you. 
"
Frat Boys,"Eewwww!
"
Singer,"Suckin' on my titties like you wanted me,
Calling me all the time like Blondie.
Check out my Chrissie behind,
It's fine all of the time.
Like sex on the beaches,
What else is in the teaches of peaches?
Huh, what?
"
Yates,"Give it to me! Come on, you sissies, I can fit more of ya!  Yeah, you like your little stripper whore?! You like her?! FREEZE!  Take them all to the station, for oral and anal sex with a prostitute! Half of them didn't even use a condom!  Don't you stupid kids know the diseases you can catch?! Hand me that evidence bag. 
"
Murphy,"Sir, sssome of us are wwwondering if maybe y-you're not... taking this role a bit far?
"
Yates,"What?! No way! Nothing is more important than keeping prostitution out of our community!  Oh, hold on, that's my daddy.  Hey Daddy.
"
Bishop,"Where you at, bitch? I need my bottom bitch right now.
"
Yates,"Ye-yes, Daddy, I'm on my way.
"
Bishop,"I made you my bottom bitch, now you gotta take care of yo' pimp, know what I'm sayin'?
"
Yates,"Be right there. Sorry guys, my daddy needs me right now. 
"
Black Bitch,"Damn bitch! Yo' pimp beat yo' ass again?
"
White Bitch,"He's an asshole.
"
Black Bitch,"You know, I heard a rumor about some new pimp up in Park County. They say he's real respectful; lots of girls switching over to him.
"
White Bitch,"A pimp that respects his hos? Sign my ass up. 
"
Butters,"And that's... three thousand dollars today for Charise. 
"
Charise,"Did I do good, Daddy?
"
Butters,"REALLY great work, bitch! That is another...  sunshine sticker for you.
"
Charise,"Thank you, Daddy. 
"
Butters,"Mmmwhoa boy!
"
Butters,"And so, I would like to see if there are any housing loan opportunities for some of my employees, and also what kind of corporate tax I should be filing under.
"
Receptionist,"And exactly what kind of business are you running?
"
Butters,"It's a kissing company.
"
Receptionist,"And you're making a profit?
"
Butters,"Oh sure! My black employee Charise over there, one time she made two thousand dollars, on one customer! Can you believe it? Two thousand dollars just to kiss a feller. She currently stays in a motel room, 'cause a lot of her customers see her late.  You wouldn't believe the time of night some fellers wanna kiss.
"
Receptionist,"Do you keep any record of the men getting these ""kisses""?
"
Butters,"'Course. My bottom bitch keeps a database of all our customers, specially the VIPs, like Senator Morris.
"
Receptionist,"Senator Morris?
"
Butters,"Sure! Senator Morris gets kisses every day at lunchtime. You know where he likes to get kissed?
"
Receptionist,"Where?
"
Butters,"In a motel room. Darnedest thing. He must get sleepy.
"
Receptionist,"Alright, get out of here! 
"
Butters,"Huh? Why?
"
Receptionist,"I'm not falling for it!
"
Butters,"But I heard ACORN helps pimps and their bitches!
"
Receptionist,"We aren't giving you anything; get out! 
"
Boss,"Mrs. Davis, is there some kind of problem?
"
Receptionist,"Eh no sir.
"
Butters,"Heey! Mr. Daniels! You get kisses from my bitch Roxy in the alley behind Sizzler. 
"
Butters,"Boy, how do you like that, bitches? Approval for two housing loans and tax-exempt status. File these away, Sally.
"
Sally,"Okay.
"
Charise,"Ubup. Daddy, how come this ho get to be bottom bitch?
"
Sally,"What?
"
Charise,"I make the most money for you Daddy, that means if anyone should be bottom bitch, it's me.
"
Sally,"Hey, screw off, ho.
"
Charise,"Fair is fair, ho.
"
Butters,"Whoa whoa, bitches, bitches!
"
Yates,"Excuse me!  Well well well, this must be the organization I've been hearing so much about. Took me a long time to find you. You won't believe the hardships I've been through trying to track you down. My name is Yolanda. I'd like to know all about your operation here. You see I just left my pimp recently and I'm looking for a new one?
"
Butters,"Oh. Well we operate on a sixty-forty split here. Bitches have access to Medicare and now, low-income housing loans.
"
Yates,"Well, I think that's about all I need to hear.
"
Bishop,"Yolanda!  Yolanda!
"
Butters,"What's that?
"
Bishop,"Yolanda please! You gotta come back to me! I got nothin' without you!
"
Yates,"You've got a lot of nerve coming here, Keshawn! After the way you treated me? I need a pimp that doesn't beat me every time he gets drunk!
"
Bishop,"Yolanda, I looove you. I need you. Not as my bottom bitch. I want...  I want to marry you. 
"
Yates,"It's too late for that, Keshawn! I just told this pimp I was his bitch now.
"
Butters,"Well wait, hold on now. Why I'd never get in the way of somebody being happy. Well us pimps gotta be good. Even to each other.
"
Bishop,"Thanks, pimp. You done changed the game, that's what you did.  Marry me Yolanda? We'll move to a little château in Switzerland and get away from all this.
"
Yates,"Oh Keshawn! 
"
Butters,"Wha? Awww.
"
Bishop,"I love you so much.
"
Yates,"Babe, I love you too.
"
Bishop,"So much, baby.
"
Yates,"Let's, uh, let's just be happy okay?
"
Bishop,"Promise, babe. Promise.
"
Butters,"Oh, oh.  Oh jeez. 
"
Butters,"Gals. Gals, could you all come gather round? Gather round, gals; take a knee.  Gals, I... well I'm afraid I can't do this anymore. I'm gonna be leavin' the company. Well I enjoyed being your pimp and all, it's just that... when I see real love, like what those two people have, well, well it just makes me feel like a... well, like a dick. Well I may be a man now, but it doesn't mean I have the right to be earnin' money for what girls do, whether you're chargin' fellers for kisses by cash or by makin' them listen to your stupid motherfuckin' problems. Well that's your hard work. Bitches, this is your company now, so get out there, and make yourselves some motherfuckin' money!
"
Bishop,"Happy anniversary baby.  Do you like 'em?
"
Yates,"I love 'em, darling.
"
Bishop,"I wanted to get you something extra-special.
"
Yates,"Well hold on. I've got something for you too, my love. I just put it right over here by the...  FREEZE!! Ha! You're busted, buddy! I'm a cop!
"
John Cena,"Say that again, Edge! You think you're better than me?!
"
Edge,"Cena, your mouth has gotten you in trouble for the last time! I'm gonna shut it up for you!
"
Spectators,"Oooooooooooooooooooooo!
"
Darryl Weathers,"Bust him up, Edge!
"
Obese Woman,"Kick his ass! WOO!
"
John Cena,"Oh yeah?! I've got somethin' else to tell you, Edge! I slept with Vanessa last night. 
"
Redneck 1,"Cena slept with Edge's girlfriend?
"
Cartman,"Oh my God, this is just sooo awesome!
"
Stan,"I'm having the best time!
"
Edge,"You cheated, and took my belt from me, and now I can't hardly get work wrestling! You took muh girl AND you took my job! 
"
Darryl Weathers,"He took his job!
"
Redneck 2,"He took his jrrr?
"
Redneck 3,"Took hid drrr! 
"
Cartman,"Oh, sweet! 
"
Edge,"Whoa... 
"
Butters,"Yes! Yehhehehes!
"
Cartman,"This is awesome!
"
Cartman,"Dude! That was so badass!
"
Kyle,"Wrestling is awesome!
"
Stan,"This is it you guys! We know what our calling in life is now. Tomorrow we are signing up for wrestling class! 
"
Cartman,"The fuck is this?!
"
Stan,"Why did they have us put on long underwear.
"
Kyle,"Well ah I guess in wrestling we're supposed to make our own outfit, and then wear it over this.
"
Butters,"Ohhh. Yeah, that makes sense.
"
Kyle,"Alright, so did everyone settle on their wrestling names?
"
Cartman,"I did. I'm the Rad Russian.  I come from Russian to crush your puny capitalist heads!
"
Coach,"Alright boys! I'm really glad to see we have some new recruits interested in the fine sport of wrassling.
"
Kyle,"Cool!
"
Stan,"Yeah!
"
Butters,"Let's do this!
"
Cartman,"All right!
"
Coach,"Now, the first thing we're gonna learn today are the fundamental wrassling holds. Let's get some volunteers. Uh why don't come over here young man? What's your name?
"
Cartman,"The Rad Russian.
"
Coach,"What?
"
Cartman,"You capitalist swine, I'll crush you!
"
Coach,"Okay uh, just go ahead and get on your hands and knees.
"
Cartman,"Huh?
"
Coach,"Just, down on, down on the floor.  Hands and knees. 
"
Cartman,"Okay...
"
Coach,"Alright and now how about you. Your name is?
"
Butters,"Triceratops!
"
Coach,"Uh, all right, uh cu, come on over here. I'm gonna position you in the official wrassling starting position.  Here- we- go.
"
Cartman,"The fuck is this?!
"
Coach,"Now just reach around him here. Good.
"
Cartman,"Dude! Dude! DUDE!  The fuck are you doing?!
"
Coach,"Get back on the floor! I'm teaching the starting position of wrassling!
"
Cartman,"That's not wrestling, dude, that's fucking gay!
"
Stan,"Yeah, what are you? A child molester?
"
Kyle,"Where's all the cool costumes and jumping off ropes and stuff?!
"
Coach,"Oh, not this again! Let me guess: you just went to that stupid WWE show in Denver last night!
"
The Boys,"Yeah! 
"
Coach,"Ugh.  The WWE is not wrassling! That's a bunch of fake bullcrap! How stupid are you! Real wrassling, boys, is this! 
"
Cartman,"Well this is fucking lame dude! Let's get the hell out of here, guys. 
"
Stan,"Yeah, this guy probably wants to take pictures of us naked.
"
Butters,"I got, half a mind to report, r-report you to the police, sir! 
"
Coach,"Rrrgh!
"
Cartman,"The Wrestling Takedown Federation has several matches planned today. Alright, sooo, here's how we'll do this, guys. I'll come out to the ring first and then Jimmy, you come in and tell me you're gonna kick my ass. Then I'm gonna say ""You slept with my girlfriend,"" and I'll charge you into a head slap.
"
Jimmy,"Sounds good.
"
Cartman,"Then Butters, you come in as the ref all like ""No no, the fight hasn't started yet,"" and that's when Jimmy sneaks up from behind and hits me over the head with a foldaway chair.
"
Butters,"Okey doke.
"
Jimmy,"So is that when I t- tell you that your girlfriend is a whore?
"
Cartman,"Noo, let's save the ""girlfriend is a whore"" line until after Stan headbutts Butters for trying to stop the fight again.
"
Butters,"Hmboy, wrestling sure is fun!
"
Cartman,"Alright are you ready to try this, guys?
"
Stan,"Yup.
"
Cartman,"Alright, let's start wrestlin'. 
"
Jimmy,"I am gonna k-kick your ass!
"
Cartman,"You slept with my girlfriend, Hammerclaw! 
"
Butters,"Hey! No! No, the fight hasn't started yet. No, bad.
"
Cartman,"Hey! He slept with my girlfriend, referee! In my country we don't wait for a bell, miste- ah!
"
Jimmy,"Your girlfriend is a whore!
"
Cartman,"Wait for it, wait for the whore line.
"
Jimmy,"Oh, I'm sorry.
"
Token,"You're gonna get it now, Hammerclaw!
"
Stan,"We'll see about that!
"
Butters,"Now hold on! I am stopping the fight!  Eoh!
"
Redneck 4,"What's goin' on?
"
Redneck 5,"Apparently that crippled kid slept with that Russian kid's girlfriend.
"
Redneck 4,"Jeez they're so young.
"
Kyle,"I'll kill you, Triceratops! You made fun of my crippled mother!
"
Butters,"That's because your mother betrayed my mothers, Juggernaut!
"
Stan,"You don't come to this country and make fun of it!
"
Cartman,"And just vhat do you care about your pitiful country?!
"
Stan,"I served my country! I fought for two years in Vietnam.
"
Redneck 6,"That kid was in 'Nam? Man, that's incredible!
"
Redneck 7,"Good for you for serving your country!
"
Redneck 8,"Guys, check this out! There's this little kid from the Congo, who was raised by panthers!
"
Redneck 9,"Are you serious?
"
Kyle,"Just admit it, Congo! Admit that you lied about me to Irene!
"
Token,"I admit nothing! Maybe Irene lied to you!
"
Redneck 10,"That kid in the hat is havin' sex with two different girls?
"
Redneck 11,"Naw, that little kid from the Congo lied about one of them to try and get the kid in the hat in trouble with his wife.
"
Redneck 12,"They're married?
"
Jimmy,"You have to forfeit the fight, Rad Russian! You cannot fight until your test results come ba-back
"
Cartman,"I might have to wait for my hepatitis test, but in the mean time, I have brought my comrade from Mexico to wrestle against you!
"
Redneck 9,"That Russian kid's got hepatitis?
"
Announcer,"And here he comes now, the cold-blooded wrestler from Mexico, El Pollo Loco! 
"
Jimmy,"What are you doing here, El, El Pollo Loco?
"
Kenny,"(I came here to kick your ass once and for all!)
"
Kyle,"Your girlfriend doesn't even like you, Stan the Man! She likes me!
"
Stan,"You have no idea what you're saying Juggernaut! Irene loves me and I'm gonna marry her!
"
Kyle,"If she wants to be with you, how about you have her tell all these people here?
"
Announcer,"Uh oh, here she comes now! It's Bad Irene! 
"
Cartman,"Let me tell you something! Let me tell you something! It's true, I love Stan the Man with all my heart, but... I want to be with Juggernaut now.
"
Stan,"What?!
"
Redneck 13,"No! No! What are you doing?! Stan the Man loves you!
"
Redneck 14,"Don't break his heart!
"
Stan,"If you love Juggernaut, Irene, then tell him what you did two years ago! How you killed his child!
"
Cartman,"It's true. I was pregnant with your child and aborted it. 
"
Kyle,"Irene, no! Why?
"
Cartman,"Do you know what it's like to have an abortion at seven years old? DO YOU? I've had so many abortions. I just... got addicted to them.
"
Redneck 15,"Whoa, did you hear that?
"
Redneck 16,"Shh!
"
Stan,"Irene, you said you loved me!
"
Cartman,"I'm not in love with you, I'm in love with abortions. Don't you undestand?! 
"
Spectators,"Ohhhh!  Ahhhh!
"
Darryl Weathers,"I'm telling you guys, you've got to see this. These kids ain't more than eight or nine years old an' they got more problems than you can imagine.
"
Redneck 13,"There's this one kid, he saw his father get murdered. And yesterday he finds the killer, and it's this other kid whose an ex-cop. Needless to say, he whupped his ass good.
"
Darryl Weathers,"Yup, and there's this little girl, she's actually addicted to gettin' abortions. Got pregnant by nearly every boy there.
"
Redneck 17,"You're shittin' me!
"
Redneck 13,"No! We're telling you these kids are fucking crazy! You gotta check it out! 
"
Darryl Weathers,"You can watch 'em almost every afternoon. It's some of the greatest wrestlin' we ever seen.
"
Coach,"It isn't real! Don't you people understand that stuff isn't real?! None of it! How stupid are you?! 
"
Redneck 13,"What do you mean, it ain't real?
"
Coach,"It's all made up! Fiction! Real wrassling is a serious and respectable sport! Why can't you people understand that that kind of wrestling isn't real?!
"
Darryl Weathers,"Mister, there's a little girl out there who's had fourteen abortions, an' she ain't even ten yet. But I guess that's just  ""not real"" to you!  Son of a bitch.
"
Coach,"Look look look!  THIS is wrestling. THIS. 
"
Darryl Weathers,"Mister, you'd better take your gay porn an' walk right out of this bar.
"
Stan,"Holy crap dude, there's a huge turnout tonight.
"
Kyle,"Good thing we made those changes to the seating.
"
Cartman,"Alright you guys, let's bring it in.  I think we've done a really great job and let's just keep the energy up, you know, have a good flow, and have fun out there, okay?
"
Butters,"Yeah!
"
Kyle,"Let's do this! One! Two!
"
Boys,"Backyard wrestling!
"
Cartman,"Oh what a perfect night for fighting. Lo, the moon sets upon the tips of the trees and I, the man known as the Rad Russian, start to stir with the excitement of violence.
"
Stan,"Only a country like yours can breed men of such discontent, Rad Russian. But you don't know what real pain is! PAIN! Like I've known. Abandoned when I was four years old by my parents. Left to die in a cold and dark sewage tunnel!
"
Redneck 13,"Gee, I didn't know his parents did that.
"
Redneck 18,"Shhh.
"
Principal Victoria,"I'm very sorry, but I'm afraid we have to terminate your employment here at South Park Elementary.
"
Coach,"You're firing me? Why?!
"
Principal Victoria,"The school board has decided to discontinue the wrestling program. Wrestling simply involves too much adult subject matter, like murder and abortion. 
"
Coach,"No, this isn't wrassling! THIS ISN'T WRASSLING! Principal Victoria, just let me stay on and I can teach kids what real wrassling is!
"
Principal Victoria,"I'm sorry, the board has made up their minds.
"
Coach,"You can't fire me for what these kids do!
"
Principal Victoria,"That isn't the only reason you're being let go.
"
Coach,"What do you mean?
"
Principal Victoria,"We... found all the gay porn on your iPhone, Mr. Connors.
"
Kyle,"So I'm thinking we do the part about Jimmy's relationship with his alcoholic father after you smash Butters onto the table.
"
Token,"Oh! Sure, that works.
"
Cartman,"You guys! You guys, listen to this! It's amazing!
"
Kyle,"What dude? 
"
Cartman,"We just received a letter from the WWE.
"
Stan,"From the professional wrestlers we saw in Denver?
"
Butters,"No way!
"
Cartman,"""Gentlemen, We have heard of your wrestling federation and are quite interested in its popularity. The WWE is delighted to inform you that it will be sending a talent scout, President Vince McMahon to view your wrestling event this Saturday the twenty-fourth.""
"
Stan,"Vince McMahon is coming to see us?
"
Kyle,"This is our shot at making it into the WWE. To be real wrestlers. 
"
Stan,"Omigod! Omigod! Omigod! Omigod! Omigod! Omigod! Omigod! Omigod! Omigod! Omigod! Omigod!..
"
Kyle,"Oh my God... Oh my God...
"
Token,"I can't believe it's him.
"
Butters,"I'm freaking out...
"
Kyle,"Omigod! Omigod! Omigod!
"
Cartman,"Okay guys! Guys, listen! We seriously have to focus here! We have exactly three days before the scout is here to see us wrestle. We gotta step it up and work it like never before.
"
Stan,"Alright it's time to start the second act. Let's bring the crowd back in from intermission and then improvise some stuff for Saturday!
"
Darryl Weathers,"Yeah, no I I think Congo is a great wrestler; I just think Rad Russian has his number.
"
Redneck 19,"Yeah, but Rad Russian has a lot of abandonment issues. 
"
Darryl Weathers,"Uh oh, it looks like the intermission is over, better head back.
"
Kyle,"I left my wife today. Walked out of the apartment without saying a word. I ran away from my responsibilities... just like I always do.  And I, again, am alone. 
"
Stan,"Here he is, hiding in the forest as I told you. 
"
Butters,"Juggernaut! There is to be an Ultimate Smackdown this Saturday! Are you going to run from that as well?
"
Kyle,"I'll fight anytime, anywhere!
"
Redneck 20,"He don't run from fights, just from responsibilities. 
"
Crowd,"Oohhhhh!  Boooooooo!
"
Stan,"What do I do? Juggernaut is my long lost brother.  And yet Congo saved my life in Nam. 
"
Announcer,"It's El Pollo Loco! 
"
Cartman,"Thanks for coming, guys. I'm sure you're wondering why I've called you here to Sizzler.
"
Kyle,"Yeah, what's this about? We should be writing our monologues for Smackdown.
"
Cartman,"Well guys, Kenny and I have been talking.
"
Kenny,"(Yeah, we've been talking.)
"
Cartman,"And, I mean, Smackdown might be our one shot at making it into the WWE, right? I mean a shot like this might never come again.
"
Stan,"Yeah?
"
Cartman,"Well, the way we see it, we have three primary obstacles in making Smackdown a great show: Token, Butters, Jimmy.
"
Kenny,"(Yep.)
"
Kyle,"What are you talking about?
"
Cartman,"Guys, let's face it: they can't wrestle for crap! I mean, every time I wrestle with one of them, they flub a line or blow their monologue. And Token? He has no emotion, no timing, he's the worst wrestler I've ever seen!
"
Stan,"He's right.
"
Kyle,"What?
"
Stan,"Dude, it's really hard to do your best wrestling when you're up against Token.
"
Cartman,"Right?
"
Stan,"And Butters and Jimmy I mean, they're okay but, they're never gonna make it as professional wrestlers.
"
Kyle,"Well, so then WWE will recruit us and not them.
"
Cartman,"No dude, they're gonna hurt our chances.
"
Kenny,"(They're gonna hurt our chances.)
"
Cartman,"Because we all know that the new material I've written is stuff those guys can't handle, and we'll suffer from it!
"
Kyle,"So what do we do?
"
Kenny,"(We've gotta bring somebody else on.)
"
Cartman,"Yep. We've gotta bring somebody else on who can handle the more difficult roles that we can wrestle against instead of those guys.
"
Stan,"Somebody who can do the harder stuff we've written so that Token, Butters, and Jimmy can have smaller parts.
"
Kyle,"How do we find somebody who can wrestle that well?
"
Cartman,"It's simple. We just gotta hold tryouts.
"
Cartman,"Number seventeen step forward, please?  You're wrestling a Muslim immigrant. You suspect he could be a terrorist and your parrents died in the 9/11 attacks. Go!
"
Number 17,"You dirty Muslim bastard! I don't trust you, and I never will! Do you know how it feels to lose your parents?! No you wouldn't, you smelly brown Middle Eastern piece of sh-
"
Cartman,"Thank you! Number twenty-four?  You're wrestling for the right to marry Mackenzie Phillips, but just learned that she had sex with her father uh, go!
"
Number 24,"Your father! Your own father!  I don't care if you were on drugs, you sick! Whore!
"
Cartman,"Thank you. 
"
Kyle,"That guy's a pretty good wrestler.
"
Kenny,"(Mhm.)
"
Stan,"Yeah yeah, not bad.
"
Cartman,"Let's see uh, can we get number thirty seven to step forward again.  We just wanna get to know you all a little better. What can you tell us about yourself?
"
Number 37,"Not a whole lot to tell, really. Was born in Fort Collins, started watching wrestling when I was four years old. My father... he liked it too. Until he died.  Sometimes I think it's 'cause of him I followed this dream. 
All my life, all I ever wanted was to
Beeeee a wrestler
Fiiiiighting in the ring
Winning that belt.
And so I dreamed every night that I was the
Uuuuundertaaker
Smaaaaashing skulls in
Breaking arms.
But I'm so worked up. This is something I can do.
Do I have what it takes inside?
"
Stan,"Damn dude, that is some badass wrestling.
"
Cartman,"Yeah, this guy crushes.
"
Coach Connors,"It isn't fair. All my hard work.  I'm not going to take it anymore.  That wrestling show is in for a big surprise.  I'm putting an end to this once and for all!  Hyaaaaa!
"
Kyle,"He's here! Vince McMahon is here! 
"
Jimmy,"Oowow, it's really him.
"
Stan,"He's here, Ohh my God  Omigod omigod omigod omigod omigod omigod omigod omigod omigod o-
"
Cartman,"Alright, places everyone.
"
Cartman,"Welcome to this performance of Wrestling Takedown Federation: Smackdown. 
"
Stan,"Juggernaut? Juggernaut, hey, what's goin' on?
"
Kyle,"You know what's goin' on. It's Smackdown tonight. Which means we might have to fight each other.
"
Stan,"Heyhey whoa, you shouldn't be fighting anybody. What about your cancer?
"
Kyle,"Wait a minute. Who is that?
"
Stan,"It's Triceratops, and he's with Irene. 
"
Kyle,"You aren't welcome here, Triceratops!
"
Cartman,"My man can do whatever he wants.
"
Coach Connors,"Stay calm, you know what you have to do.
"
Cartman,"You're just gonna have to deal with that.
"
Coach Connors,"For the good of real wrassling. 
"
Butters,"No Irene, please! Just this once, do not abort this baby!
"
Cartman,"My body, my rights! In fact, I'm jonesing for the rush so badly, I don't think I'll make it to the clinic.
"
Stan,"No, you can't possibly mean that-!
"
Cartman,"Yes! I think maybe I'll have another abortion! Right here, right now!
"
Crowd,"Awwwww!
"
Butters,"There's someone here to wrestle you, Irene! A baby you aborted many years ago survived! And he's here now!
"
Number 37,"Mother! Why did you abort me? Why?
"
Redneck 21,"He's alive!
"
Cartman,"You! Get back in the trashcan where you belong!
"
Assistant,"What do you thnk?
"
Stan,"Irene, there's no way we could let you here, and I'd let you something informal like that.
"
Vince,"They are decent wrestlers. We'll see how they develop their through lines in the second act. 
"
Jimmy,"Aha! I thought I would find you here, Triceratops!
"
Butters,"Stay out of my business Sergeant Hammerclaw! You just stay out of my way!
"
Guard,"Excuse me. I'm sorry, I'm afraid this area is off limits
"
Butters,"Are you sure?
"
Coach Connors,"Oh don't mind me.  I was just about to- 
"
Guard,"Heh whoa-ho! Heh hey! Whoawhoawhoa. Whoahoho. Eheheh. The fuck is this?
"
Cartman,"O, how I long for the spring meadows of Russia! The soft Russian sky!
"
Stan,"When are you going to face reality, Congo? Just because you were raised by panthers doesn't mean you are one!
"
Butters,"He's closer to a panther than you'll ever be!
"
Jimmy,"Lies! These are all a bunch of lies!  Now you listen here, El, Pollo Loco! It doesn't matter if your wife was killed, you cannot keep Irene's aborted baby!
"
Kenny,"(I can keep the baby...)
"
Cartman,"Just let them crawl back to Mexico Sergeant Hammerclaw.  We can't... might as well go back to your land of burritos, tacos, and take this aborted baby where it will fit in right with all the other aborted babies in Mexico!
"
Coach Connors,"Only one shot.  Maximum damage.  This is all your fault, you WWE president asshole! Your fault we all die here. Right. Now. FOR WRASSLING!  NO! 
"
Fan 1,"O dios mio, mataron al Pollo Loco!
"
Fan 2,"Bastardos! 
"
Coach Connors,"No! No, shut up!  You idiots want wrassling?! This is wrassling! 
"
Redneck 22,"We want some real wrestlers!
"
Coach Connors,"This is just a bunch of garbage! And you are all ruining the good name of wrassling!  Wrassling is from ancient Greece! It's in the Olympics!
"
Darryl Weathers,"What the hell do you care?! Get off the wrestlin' mat! Boo!
"
Coach Connors,"Why do I care? These kids made it so real wrassling is gone from schools! It's practically gone from the culture. Damn it they took my job!
"
Crowd,"Huh? What?
"
Redneck 5,"They took his job.
"
Redneck 23,"I know. Sshh. 
"
Coach Connors,"You want to know pain? Pain is dedicating your entire life to a sport, to a career, and then having it all ripped away from you like a babe from its mother.
"
Darryl Weathers,"Oh man, they took his job?
"
Redneck 13,"They took hid-drr.
"
Coach Connors,"Lost everything! Couldn't even afford to pay for my... little retriever Rex anymore! Animal Control came and got him!
"
Redneck 24,"They took his dog!
"
Redneck 25,"They tok hid-drr!
"
Redneck 5,"Took hid-drrr!
"
Coach Connors,"I ended up on the streets, stealing! Got busted by the police and had to spent the night in jail! The other inmates, they all beat me and fractured my jaw to where I couldn't eat!
"
Redneck 26,"They broke his jaw!
"
Redneck 22,"Theeyy broke his jaw!
"
Redneck 27,"Brk hij-jrr! 
"
Coach Connors,"So you see I have nothing left. Nothing! Not even the will to live. 
"
Vince,"Sir, that was one of the finest wrestling performances I have ever seen.
"
Coach Connors,"What?
"
Vince,"Will you not join our wrestling organization? I promise to make you our leading act.
"
Coach Connors,"You, you mean it?
"
Vince,"Come! I want to get you in rehearsals right away! 
"
Kyle,"What?
"
Stan,"Dude.
"
Cartman,"Hey, what about us? Our show? 
"
Vince,"Sorry boys. You are decent wrestlers, but lack the raw wrestling talent this man has.
"
The Boys,"Aaaaah.
"
Cartman,"This is all your fault, Kyle! You screwed up the second act!
"
Kyle,"Me?! It was your stupid-ass writing!
"
Jimmy,"Face it: Stan's crappy singing is what sssunk us!
"
Stan,"What?? 
"
Jimmy,"You can s-, you can suck, suck my balls!
"
Stan,"Don't go pointing fingers at me, partner! You have no idea what you're talking about, and it wasn't... 
"
Redneck 28,"What the hell's this?
"
Redneck 29,"This is Goddamned fake!
"
